object_id	obj_orig_id	profile_id	sample_id	taxon	object_depth	obj_objdate	obj_objtime	obj_latitude	obj_longitude	fre_area	fre_esd	fre_feret	fre_major	fre_minor	match_method	ecopart_depth	depth_delta_m	ecopart_profile_depth_min	ecopart_profile_depth_max	depth_match_quality	ecopart_datetime	ecopart_temperature_degC	ecopart_salinity_psu	ecopart_oxygen_umol_kg	ecopart_oxygen_ml_l	ecopart_fluorescence_mg_chl_m3	ecopart_nitrate_umol_l	ecopart_pressure_db	ecopart_sampled_volume_l	ecopart_particle_count_l_selected_sum	ecopart_particle_biovolume_selected_sum
91894896	ips_007_899	ips_007	77324	detritus<not-living	231.8	2018-07-16	13:54:01	68.3096666666667	-60.3925	37.0	6.8636625175777	9.4	8.5	5.6	profile_id+nearest_depth	232.5	0.6999999999999886	2.5	247.5	within_5m_bin	2018-07-16 13:54:01	0.084544				0.04565568		232.40000000000003	117.81	30.752907223495455	0.23502147215133423
91894897	ips_007_970	ips_007	77324	detritus<not-living	253.3	2018-07-16	13:54:01	68.3096666666667	-60.3925	97.0	11.1132459632328	16.6	16.1	7.7	profile_id+nearest_depth	247.5	5.800000000000011	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91894898	ips_007_1069	ips_007	77324	detritus<not-living	301.4	2018-07-16	13:54:01	68.3096666666667	-60.3925	47.0	7.73577782789505	11.3	9.8	6.1	profile_id+nearest_depth	247.5	53.89999999999998	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91894899	ips_007_1130	ips_007	77324	detritus<not-living	328.4	2018-07-16	13:54:01	68.3096666666667	-60.3925	34.0	6.57952464247954	8.9	8.4	5.1	profile_id+nearest_depth	247.5	80.89999999999998	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91894900	ips_007_1148	ips_007	77324	badfocus<artefact	337.1	2018-07-16	13:54:01	68.3096666666667	-60.3925	184.0	15.3060797146516	19.0	16.4	14.3	profile_id+nearest_depth	247.5	89.60000000000002	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91894907	ips_007_235	ips_007	77324	Copepoda<Multicrustacea	27.1	2018-07-16	13:54:01	68.3096666666667	-60.3925	241.0	17.5171553136111	39.6	32.8	9.3	profile_id+nearest_depth	27.5	0.3999999999999986	2.5	247.5	within_5m_bin	2018-07-16 13:54:01	-1.3033439999999998				0.9894951999999998		27.4	115.83	12.095312095312094	0.3061612389974525
91894908	ips_007_1068	ips_007	77324	detritus<not-living	298.6	2018-07-16	13:54:01	68.3096666666667	-60.3925	189.0	15.5126488374792	54.4	29.1	8.3	profile_id+nearest_depth	247.5	51.10000000000002	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91894909	ips_007_1085	ips_007	77324	Copepoda<Multicrustacea	307.1	2018-07-16	13:54:01	68.3096666666667	-60.3925	56.0	8.4440164912895	15.5	10.9	6.6	profile_id+nearest_depth	247.5	59.60000000000002	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91894910	ips_007_1399	ips_007	77324	Copepoda<Multicrustacea	438.0	2018-07-16	13:54:01	68.3096666666667	-60.3925	50.0	7.97884560802865	15.6	11.4	5.6	profile_id+nearest_depth	247.5	190.5	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91894911	ips_007_1832	ips_007	77324	Copepoda<Multicrustacea	732.3	2018-07-16	13:54:01	68.3096666666667	-60.3925	48.0	7.81764019044672	12.7	9.6	6.4	profile_id+nearest_depth	247.5	484.79999999999995	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91894912	ips_007_2155	ips_007	77324	Copepoda<Multicrustacea	940.9	2018-07-16	13:54:01	68.3096666666667	-60.3925	216.0	16.5837191746241	28.2	20.9	13.2	profile_id+nearest_depth	247.5	693.4	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91894913	ips_007_23	ips_007	77324	Copepoda<Multicrustacea	6.5	2018-07-16	13:54:01	68.3096666666667	-60.3925	110.0	11.8345405454064	19.3	17.9	7.8	profile_id+nearest_depth	7.5	1.0	2.5	247.5	within_5m_bin	2018-07-16 13:54:01	-0.7746880000000003				0.7731783999999999		7.400000000000001	249.48	72.86355619688953	0.28351939270648213
91894914	ips_007_1280	ips_007	77324	detritus<not-living	398.2	2018-07-16	13:54:01	68.3096666666667	-60.3925	41.0	7.22515199384357	9.2	8.3	6.3	profile_id+nearest_depth	247.5	150.7	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91894915	ips_007_1744	ips_007	77324	detritus<not-living	645.9	2018-07-16	13:54:01	68.3096666666667	-60.3925	131.0	12.9148898702353	15.2	13.9	12.0	profile_id+nearest_depth	247.5	398.4	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91896250	ips_007_56	ips_007	77324	detritus<not-living	9.1	2018-07-16	13:54:01	68.3096666666667	-60.3925	159.0	14.228319915327	20.6	19.1	10.6	profile_id+nearest_depth	7.5	1.5999999999999996	2.5	247.5	within_5m_bin	2018-07-16 13:54:01	-0.7746880000000003				0.7731783999999999		7.400000000000001	249.48	72.86355619688953	0.28351939270648213
91896251	ips_007_168	ips_007	77324	Copepoda<Multicrustacea	18.7	2018-07-16	13:54:01	68.3096666666667	-60.3925	356.0	21.2902155443696	34.9	33.7	13.4	profile_id+nearest_depth	17.5	1.1999999999999993	2.5	247.5	within_5m_bin	2018-07-16 13:54:01	-0.8041799999999999				1.1230776		17.4	218.79	46.775446775446774	0.48492363025494034
91896252	ips_007_369	ips_007	77324	like<Copepoda	59.9	2018-07-16	13:54:01	68.3096666666667	-60.3925	113.0	11.9948350782774	21.2	15.8	9.1	profile_id+nearest_depth	57.5	2.3999999999999986	2.5	247.5	within_5m_bin	2018-07-16 13:54:01	-1.491124				0.3107216		57.4	111.87	19.55841601859301	0.4420967054865643
91896253	ips_007_1284	ips_007	77324	rhizaria temporary	400.1	2018-07-16	13:54:01	68.3096666666667	-60.3925	137.0	13.2073395363607	21.3	19.7	8.9	profile_id+nearest_depth	247.5	152.60000000000002	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91896254	ips_007_1626	ips_007	77324	Annelida	563.0	2018-07-16	13:54:01	68.3096666666667	-60.3925	546.0	26.366433043273	47.5	46.4	15.0	profile_id+nearest_depth	247.5	315.5	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91896255	ips_007_1728	ips_007	77324	badfocus<artefact	632.9	2018-07-16	13:54:01	68.3096666666667	-60.3925	194.0	15.7165031631919	24.3	23.9	10.3	profile_id+nearest_depth	247.5	385.4	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91896256	ips_007_231	ips_007	77324	detritus<not-living	26.9	2018-07-16	13:54:01	68.3096666666667	-60.3925	188.0	15.4715556557901	25.7	24.7	9.7	profile_id+nearest_depth	27.5	0.6000000000000014	2.5	247.5	within_5m_bin	2018-07-16 13:54:01	-1.3033439999999998				0.9894951999999998		27.4	115.83	12.095312095312094	0.3061612389974525
91896260	ips_007_242	ips_007	77324	like<Copepoda	27.3	2018-07-16	13:54:01	68.3096666666667	-60.3925	129.0	12.8159237384917	23.8	21.7	7.6	profile_id+nearest_depth	27.5	0.1999999999999993	2.5	247.5	within_5m_bin	2018-07-16 13:54:01	-1.3033439999999998				0.9894951999999998		27.4	115.83	12.095312095312094	0.3061612389974525
91896261	ips_007_340	ips_007	77324	like<Copepoda	53.0	2018-07-16	13:54:01	68.3096666666667	-60.3925	129.0	12.8159237384917	24.2	24.1	6.8	profile_id+nearest_depth	52.5	0.5	2.5	247.5	within_5m_bin	2018-07-16 13:54:01	-1.5360999999999996				0.4400204000000001		52.4	114.84	19.636015325670495	0.4686867142284199
91896262	ips_007_1396	ips_007	77324	like<Copepoda	434.7	2018-07-16	13:54:01	68.3096666666667	-60.3925	116.0	12.153015559493	24.4	21.9	6.7	profile_id+nearest_depth	247.5	187.2	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
91896263	ips_007_1812	ips_007	77324	like<Copepoda	701.3	2018-07-16	13:54:01	68.3096666666667	-60.3925	149.0	13.7736230587866	25.5	24.8	7.6	profile_id+nearest_depth	247.5	453.79999999999995	2.5	247.5	outside_ecopart_sample_range	2018-07-16 13:54:01	0.298168				0.0442345999999999		247.40000000000003	84.15	33.33333333333333	0.2454645638355768
